                  epoch,         train/pos_loss,         train/mov_loss,        train/conf_loss,         train/hit_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/pos_loss,           val/mov_loss,          val/conf_loss,           val/hit_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 47.651,                 98.375,                 204.87,                0.12157,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007426,               0.007426,               0.007426
                     54,                 47.826,                  96.99,                 229.41,                0.12068,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0073765,              0.0073765,              0.0073765
                     55,                 46.732,                 95.306,                 221.95,                0.12016,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007327,               0.007327,               0.007327
                     56,                 46.732,                 92.879,                 210.72,                0.11987,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0072775,              0.0072775,              0.0072775
                     57,                 45.782,                 92.667,                 197.08,                 0.1191,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007228,               0.007228,               0.007228
                     58,                 45.425,                  90.56,                 206.19,                0.11645,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0071785,              0.0071785,              0.0071785
                     59,                 44.576,                 92.131,                 193.36,                0.11565,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.007129,               0.007129,               0.007129
                     60,                 45.396,                 88.618,                 193.84,                0.11496,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0070795,              0.0070795,              0.0070795
                     61,                 43.961,                 87.281,                 193.86,                0.11377,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00703,                0.00703,                0.00703
                     62,                 44.031,                 88.616,                 192.78,                0.11317,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0069805,              0.0069805,              0.0069805
                     63,                 43.162,                 87.494,                 193.02,                0.11274,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006931,               0.006931,               0.006931
                     64,                  43.49,                 85.781,                  191.5,                0.11257,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0068815,              0.0068815,              0.0068815
                     65,                 42.878,                 85.351,                 182.04,                0.11177,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006832,               0.006832,               0.006832
                     66,                 42.962,                  86.39,                 189.91,                0.11053,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0067825,              0.0067825,              0.0067825
                     67,                 42.236,                 82.686,                 179.64,                0.11057,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006733,               0.006733,               0.006733
                     68,                 42.689,                 82.221,                 204.85,                0.10922,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0066835,              0.0066835,              0.0066835
                     69,                 42.196,                 81.719,                 183.28,                0.10928,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006634,               0.006634,               0.006634
                     70,                 41.847,                 82.105,                 178.03,                0.10774,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0065845,              0.0065845,              0.0065845
                     71,                 42.058,                 80.826,                 175.19,                0.10666,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006535,               0.006535,               0.006535
                     72,                 41.112,                 79.478,                 169.12,                0.10529,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0064855,              0.0064855,              0.0064855
                     73,                 40.741,                 77.801,                 165.51,                0.10318,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006436,               0.006436,               0.006436
                     74,                 40.052,                 77.095,                 167.31,                 0.1039,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0063865,              0.0063865,              0.0063865
                     75,                 40.454,                 76.524,                 183.03,                0.10352,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006337,               0.006337,               0.006337
                     76,                 40.369,                 73.736,                 164.82,                0.10232,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0062875,              0.0062875,              0.0062875
                     77,                 39.812,                 73.808,                 159.43,                0.10207,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006238,               0.006238,               0.006238
                     78,                  39.26,                 75.746,                 163.69,                0.10006,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0061885,              0.0061885,              0.0061885
                     79,                 38.853,                 70.619,                 148.66,                0.09921,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006139,               0.006139,               0.006139
                     80,                   39.9,                 71.795,                 172.21,                0.09783,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0060895,              0.0060895,              0.0060895
                     81,                 39.325,                 69.511,                 161.22,                0.09783,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00604,                0.00604,                0.00604
                     82,                 38.754,                 71.519,                 162.25,                0.09685,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0059905,              0.0059905,              0.0059905
                     83,                 37.943,                 69.464,                 152.32,                0.09535,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005941,               0.005941,               0.005941
                     84,                 38.354,                 70.448,                 158.82,                0.09512,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0058915,              0.0058915,              0.0058915
                     85,                 37.989,                 67.719,                 157.32,                0.09459,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005842,               0.005842,               0.005842
                     86,                 37.506,                  66.36,                  159.4,                0.09373,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0057925,              0.0057925,              0.0057925
                     87,                 36.561,                 63.826,                 147.72,                0.09243,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005743,               0.005743,               0.005743
                     88,                 37.642,                 65.679,                 157.07,                0.09263,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0056935,              0.0056935,              0.0056935
                     89,                 37.196,                  65.06,                  145.1,                0.09275,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005644,               0.005644,               0.005644
                     90,                 37.143,                 63.113,                 177.77,                0.09157,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0055945,              0.0055945,              0.0055945
                     91,                 37.214,                 66.515,                 155.05,                0.09219,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005545,               0.005545,               0.005545
                     92,                 36.294,                 61.998,                 137.98,                0.09081,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0054955,              0.0054955,              0.0054955
                     93,                 36.456,                 58.945,                 154.86,                0.09082,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005446,               0.005446,               0.005446
                     94,                 35.928,                 60.325,                 133.84,                 0.0893,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0053965,              0.0053965,              0.0053965
                     95,                 35.369,                 60.252,                 140.11,                0.08871,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005347,               0.005347,               0.005347
                     96,                 35.842,                  60.55,                 148.92,                0.08766,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0052975,              0.0052975,              0.0052975
                     97,                 35.564,                 57.226,                 149.02,                0.08839,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005248,               0.005248,               0.005248
                     98,                 34.743,                  55.43,                 126.68,                0.08705,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0051985,              0.0051985,              0.0051985
                     99,                  34.48,                 56.939,                 173.26,                0.08708,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.005149,               0.005149,               0.005149
                    100,                 34.822,                 55.855,                 128.96,                0.08699,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0050995,              0.0050995,              0.0050995
                    101,                 34.953,                  56.16,                 130.75,                0.08691,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00505,                0.00505,                0.00505
                    102,                  34.48,                   55.4,                 125.94,                0.08508,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0050005,              0.0050005,              0.0050005
                    103,                 34.434,                 53.276,                 153.22,                0.08466,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004951,               0.004951,               0.004951
                    104,                 33.868,                 54.247,                 137.17,                 0.0852,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0049015,              0.0049015,              0.0049015
                    105,                  33.47,                 50.287,                 123.48,                  0.083,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004852,               0.004852,               0.004852
                    106,                 33.049,                 50.656,                 153.09,                0.08162,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0048025,              0.0048025,              0.0048025
                    107,                 33.408,                 50.426,                 119.36,                0.08126,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004753,               0.004753,               0.004753
                    108,                 33.193,                 48.997,                 111.12,                0.08092,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0047035,              0.0047035,              0.0047035
                    109,                 32.428,                 50.282,                 124.58,                0.08016,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004654,               0.004654,               0.004654
                    110,                 32.599,                 50.183,                 147.89,                0.07951,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0046045,              0.0046045,              0.0046045
                    111,                 32.431,                 51.297,                 156.66,                 0.0786,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004555,               0.004555,               0.004555
                    112,                 31.962,                 46.142,                 110.62,                0.07953,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0045055,              0.0045055,              0.0045055
                    113,                 31.773,                  46.94,                 131.87,                0.07789,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004456,               0.004456,               0.004456
                    114,                 32.011,                 46.748,                 123.69,                0.07715,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0044065,              0.0044065,              0.0044065
                    115,                 31.535,                 47.119,                  156.1,                0.07745,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004357,               0.004357,               0.004357
                    116,                 31.312,                 47.775,                 107.36,                0.07786,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0043075,              0.0043075,              0.0043075
                    117,                 31.011,                 44.922,                 107.77,                 0.0761,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004258,               0.004258,               0.004258
                    118,                  30.81,                 43.165,                 112.96,                0.07572,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0042085,              0.0042085,              0.0042085
                    119,                 30.936,                 46.271,                 94.555,                0.07525,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.004159,               0.004159,               0.004159
                    120,                  31.06,                 43.324,                 111.11,                0.07499,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0041095,              0.0041095,              0.0041095
                    121,                 30.312,                 40.748,                  133.5,                 0.0736,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                    122,                 29.897,                 44.541,                 114.75,                0.07375,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0040105,              0.0040105,              0.0040105
                    123,                 30.161,                 39.402,                 138.75,                0.07399,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003961,               0.003961,               0.003961
                    124,                 29.644,                 39.706,                 85.342,                0.07364,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0039115,              0.0039115,              0.0039115
                    125,                 29.034,                  40.19,                 101.53,                0.07245,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003862,               0.003862,               0.003862
                    126,                 28.962,                 41.149,                 126.67,                 0.0726,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0038125,              0.0038125,              0.0038125
                    127,                 29.459,                 40.049,                 132.53,                0.07264,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003763,               0.003763,               0.003763
                    128,                 28.467,                 37.471,                 99.096,                0.07255,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0037135,              0.0037135,              0.0037135
                    129,                 28.816,                 39.232,                 111.83,                0.07177,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003664,               0.003664,               0.003664
                    130,                  28.63,                 37.809,                 104.36,                0.07214,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0036145,              0.0036145,              0.0036145
                    131,                 28.227,                 36.137,                 99.756,                0.07188,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003565,               0.003565,               0.003565
                    132,                 27.539,                 36.874,                 103.29,                0.07182,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0035155,              0.0035155,              0.0035155
                    133,                 27.484,                 36.283,                 97.721,                0.07073,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003466,               0.003466,               0.003466
                    134,                  27.39,                 34.865,                 84.693,                 0.0704,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0034165,              0.0034165,              0.0034165
                    135,                 27.578,                 33.935,                 80.718,                0.06921,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003367,               0.003367,               0.003367
                    136,                 27.187,                 34.104,                 114.62,                0.06927,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033175,              0.0033175,              0.0033175
                    137,                 26.909,                 35.163,                 74.672,                0.06839,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003268,               0.003268,               0.003268
                    138,                 26.404,                 33.442,                 77.981,                0.06787,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032185,              0.0032185,              0.0032185
                    139,                 26.351,                 30.714,                 99.711,                0.06772,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003169,               0.003169,               0.003169
                    140,                 25.722,                 30.899,                 107.58,                0.06714,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0031195,              0.0031195,              0.0031195
                    141,                  25.73,                 30.359,                 109.27,                0.06694,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00307,                0.00307,                0.00307
                    142,                  25.84,                 29.566,                 96.341,                0.06671,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0030205,              0.0030205,              0.0030205
                    143,                 25.268,                 29.139,                 117.93,                0.06596,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002971,               0.002971,               0.002971
                    144,                 24.981,                 29.532,                 82.919,                0.06565,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0029215,              0.0029215,              0.0029215
                    145,                 24.534,                 29.178,                 67.485,                0.06549,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002872,               0.002872,               0.002872
                    146,                  24.27,                 28.285,                 107.79,                0.06518,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0028225,              0.0028225,              0.0028225
                    147,                 24.613,                  26.84,                 62.389,                0.06509,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002773,               0.002773,               0.002773
                    148,                 24.062,                 27.023,                 79.264,                0.06485,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0027235,              0.0027235,              0.0027235
                    149,                 23.419,                 24.902,                 57.807,                0.06388,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002674,               0.002674,               0.002674
                    150,                 23.449,                 26.748,                 74.403,                 0.0634,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0026245,              0.0026245,              0.0026245
                    151,                 22.754,                 25.356,                 50.295,                0.06264,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.002575,               0.002575,               0.002575
                    152,                 22.815,                 25.132,                 62.266,                 0.0621,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0025255,              0.0025255,              0.0025255
