                  epoch,         train/pos_loss,        train/conf_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/pos_loss,          val/conf_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                 1.1477,                 12.673,                      0,                      0,                      0,                      0,                      0,                      0,               0.005149,               0.005149,               0.005149
                    100,                 1.1442,                 12.747,                      0,                      0,                      0,                      0,                      0,                      0,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.1426,                 12.488,                      0,                      0,                      0,                      0,                      0,                      0,                0.00505,                0.00505,                0.00505
                    102,                 1.1401,                 12.351,                      0,                      0,                      0,                      0,                      0,                      0,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.1385,                 12.202,                      0,                      0,                      0,                      0,                      0,                      0,               0.004951,               0.004951,               0.004951
                    104,                 1.1326,                 12.104,                      0,                      0,                      0,                      0,                      0,                      0,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.1316,                 12.087,                      0,                      0,                      0,                      0,                      0,                      0,               0.004852,               0.004852,               0.004852
                    106,                 1.1287,                 11.517,                      0,                      0,                      0,                      0,                      0,                      0,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.1263,                 11.342,                      0,                      0,                      0,                      0,                      0,                      0,               0.004753,               0.004753,               0.004753
                    108,                 1.1249,                 11.101,                      0,                      0,                      0,                      0,                      0,                      0,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.1184,                 11.087,                      0,                      0,                      0,                      0,                      0,                      0,               0.004654,               0.004654,               0.004654
                    110,                 1.1187,                 10.863,                      0,                      0,                      0,                      0,                      0,                      0,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.1144,                 9.7018,                      0,                      0,                      0,                      0,                      0,                      0,               0.004555,               0.004555,               0.004555
                    112,                 1.1145,                 10.395,                      0,                      0,                      0,                      0,                      0,                      0,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.1207,                 9.8386,                      0,                      0,                      0,                      0,                      0,                      0,               0.004456,               0.004456,               0.004456
                    114,                 1.1107,                 9.7175,                      0,                      0,                      0,                      0,                      0,                      0,              0.0044065,              0.0044065,              0.0044065
                    115,                  1.106,                 9.9206,                      0,                      0,                      0,                      0,                      0,                      0,               0.004357,               0.004357,               0.004357
                    116,                 1.1192,                 9.2842,                      0,                      0,                      0,                      0,                      0,                      0,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.1041,                 9.9887,                      0,                      0,                      0,                      0,                      0,                      0,               0.004258,               0.004258,               0.004258
                    118,                 1.1055,                 9.6062,                      0,                      0,                      0,                      0,                      0,                      0,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.0983,                 9.1996,                      0,                      0,                      0,                      0,                      0,                      0,               0.004159,               0.004159,               0.004159
                    120,                 1.0958,                 9.0522,                      0,                      0,                      0,                      0,                      0,                      0,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.0882,                 9.2261,                      0,                      0,                      0,                      0,                      0,                      0,                0.00406,                0.00406,                0.00406
                    122,                 1.0935,                 8.5544,                      0,                      0,                      0,                      0,                      0,                      0,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.0923,                 8.3978,                      0,                      0,                      0,                      0,                      0,                      0,               0.003961,               0.003961,               0.003961
                    124,                  1.093,                 8.2329,                      0,                      0,                      0,                      0,                      0,                      0,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.0893,                 8.3574,                      0,                      0,                      0,                      0,                      0,                      0,               0.003862,               0.003862,               0.003862
